ENTREZID	GENENAME	SYMBOL	L.donovani_4vsControl_logFC	L.donovani_4vsControl_test	L.donovani_8vsControl_logFC	L.donovani_8vsControl_test	L.donovani_24vsControl_logFC	L.donovani_24vsControl_test	logFC
2055	CLN8 transmembrane ER and ERGIC protein	CLN8	1.04285136686454	1	0.965188715050177	1	0.825448458010646	1	-0.287777777777776
2222	farnesyl-diphosphate farnesyltransferase 1	FDFT1	-0.623564578071679	0	-0.857950688099898	-1	-0.286759530362231	0	-0.558888888888887
5742	prostaglandin-endoperoxide synthase 1	PTGS1	-0.449169553404616	0	-0.699733988460105	0	-1.05887824042014	-1	-0.395555555555555
6256	retinoid X receptor alpha	RXRA	-0.180714149891511	0	-0.146133091121017	0	-0.528242000269074	-1	-0.351111111111111
6257	retinoid X receptor beta	RXRB	-0.518642123748556	-1	-0.461276603351687	0	-0.629666427661345	-1	-0.343333333333332
6319	stearoyl-CoA desaturase	SCD	0.533697170453518	0	0.576410363552201	0	1.37213522505668	1	-0.393333333333333
8613	phospholipid phosphatase 3	PLPP3	1.67125613127205	1	1.80290410917151	1	2.10945356798388	1	0.247777777777778
9885	oxysterol binding protein like 2	OSBPL2	-0.2933401022855	-1	-0.100190869812534	0	-0.0620084818774664	0	-0.369999999999998
10802	SEC24 homolog A, COPII coat complex component	SEC24A	0.440097615060925	1	0.40539946938085	1	0.396529823777785	1	-0.351111111111108
